language,mean,median,stddev
rust,3.39758226997985,2,4.53557810995646
haskell,3.32657042528287,2,4.2669353335304
c,3.24001857010214,2,4.92351676860809
ruby,3.06586402266289,2,4.65180630615125
javascript,2.86026047166491,2,4.24320182917529
python,2.64482885535517,2,3.68495427566975
go,2.52864583333333,1,3.72669756708857
c-sharp,2.5238578680203,1,3.38297281761679
java,2.44304329550231,1,3.48135924935989
swift,2.40295267042987,1,4.22807935694025
