language,unigram,tf,idf,tfidf
c,mruby,0.0116986122573004,3.30258442034133,0.0386356545805744
c,vm_c,0.00741004188434672,3.30258442034133,0.0244722888813202
c,fa,0.0140742454429624,1.51082495111327,0.0212637211833198
c,fd,0.0116813474812418,1.35667427128601,0.0158477835817525
c,mrb_vm_exec,0.00324232494380315,3.30258442034133,0.0107080518450884
c,mrb_vm_run,0.00314564219787505,3.30258442034133,0.0103887489146704
c,error,0.00947836205616577,0.999999327347282,0.00947835568051977
c,mrb_run,0.00268985210992828,3.30258442034133,0.00888346367127139
c,00,0.00801430904639736,0.999999327347282,0.0080143036555506
c,x86_64,0.00719941161643192,0.999999327347282,0.00719940677372813
c,ieee80211,0.001885313545598,3.30258442034133,0.00622640714315042
c,rt2x00usb_vendor_request,0.001885313545598,3.30258442034133,0.00622640714315042
c,ecall,0.0018473310382691,3.30258442034133,0.00610096670620051
c,gc_c,0.00163324781514259,3.30258442034133,0.00539393878884643
c,redzone,0.00162288894950744,3.30258442034133,0.00535972776058736
c,mongoose,0.002019978798855,2.60943723978138,0.0052710079013011
c,redcarpet,0.00199235515716126,2.60943723978138,0.00519892574196707
c,https,0.00493082004233323,0.999999327347282,0.00493081672560373
c,failed,0.00491700822148636,0.999999327347282,0.00491700491404742
c,beanstalkd,0.00147441187540356,3.30258442034133,0.00486936968887405
c,0x07,0.00134665253257,3.30258442034133,0.00444743367367887
c,lwan_response_c,0.00134319957735828,3.30258442034133,0.00443602999759252
c,c,0.00420224649266074,0.999999327347282,0.00420224366600822
c,libsodium,0.00126723456270049,3.30258442034133,0.00418514912369268
c,http,0.00403995759771,0.999999327347282,0.00403995488022154
c,r5,0.00121544023452472,3.30258442034133,0.00401409398239734
c,mrb_funcall_with_block,0.00120853432410128,3.30258442034133,0.00399128663022463
c,lwan,0.0011740047719841,3.30258442034133,0.00387724986936107
c,mongoose_c,0.00110494566774974,3.30258442034133,0.00364917634763395
c,r4,0.00137427617426374,2.60943723978138,0.0035860874268681
c,mrb,0.00107041611563256,3.30258442034133,0.00353513958677039
c,22699,0.00101862178745679,3.30258442034133,0.00336408444547505
c,request,0.00335281951057813,0.999999327347282,0.00335281725529497
c,log_request,0.00128449933875908,2.60943723978138,0.0033518204090325
c,r6,0.000970280414492744,3.30258442034133,0.00320443298026606
c,code,0.0031939835708391,0.999999327347282,0.00319398142239737
c,phy0,0.000963374504069308,3.30258442034133,0.00318162562809335
c,lib,0.00308694195927585,0.999999327347282,0.00308693988283595
c,mrb_funcall_argv,0.000932297907163846,3.30258442034133,0.00307899254331614
c,phy1,0.000921939041528692,3.30258442034133,0.00304478151505708
c,r7,0.000897768355046667,3.30258442034133,0.00296495578245258
c,ruby,0.00257590458794159,1.10535984300511,0.00284730149092325
c,read,0.00283142327360872,0.999999327347282,0.00283142136904416
c,b,0.00269675802035172,0.999999327347282,0.00269675620637011
c,file,0.00268985210992828,0.999999327347282,0.00268985030059195
c,connection,0.00267604028908141,0.999999327347282,0.00267603848903564
c,github_com,0.00265877551302282,0.999999327347282,0.00265877372459025
c,kernel,0.00214083223126513,1.22314287866149,0.00261854369808093
c,gems,0.00114292817507864,2.20397213167322,0.00251898184637745
c,addresssanitizer,0.000756197191366231,3.30258442034133,0.00249740506291198
c,usr,0.00249648661807208,0.999999327347282,0.00249648493880357
c,make,0.00248958070764864,0.999999327347282,0.00248957903302541
c,issue,0.00247231593159005,0.999999327347282,0.00247231426858002
c,0x0438,0.000732026504884205,3.30258442034133,0.00241757933030749
c,00000000,0.00136391730862859,1.69314650790723,0.00230931182817872
c,peer,0.00186804876953941,1.22314287866149,0.00228489054945449
c,src,0.00226513861888697,0.999999327347282,0.00226513709523533
c,usb,0.00116364590634895,1.91629005922144,0.00222988308279021
c,build,0.00219607951465262,0.999999327347282,0.00219607803745376
c,p,0.00211320858957138,0.999999327347282,0.00211320716811588
c,test,0.00211320858957138,0.999999327347282,0.00211320716811588
c,function,0.00210284972393623,0.999999327347282,0.00210284830944865
c,pi1,0.000631890803744385,3.30258442034133,0.00208687272380316
c,include,0.00205450835097218,0.999999327347282,0.00205450696900155
c,end,0.00201652584364328,0.999999327347282,0.00201652448722169
c,offset,0.00198890220194954,0.999999327347282,0.00198890086410907
c,n,0.0019819962915261,0.999999327347282,0.00198199495833091
c,esp8266_sdk,0.000593908296415487,3.30258442034133,0.00196143228685325
c,reset,0.00196127856025579,0.999999327347282,0.00196127724099644
c,isrc,0.000749291280942795,2.60943723978138,0.00195522857193562
c,vendor,0.00195437264983236,0.999999327347282,0.00195437133521828
c,japronto,0.000590455341203769,3.30258442034133,0.00195002861076689
c,71,0.00194746673940892,0.999999327347282,0.00194746542944013
c,104,0.00193365491856205,0.999999327347282,0.00193365361788381
c,$,0.00190948423208003,0.999999327347282,0.00190948294766027
c,3,0.00189912536644487,0.999999327347282,0.00189912408899303
c,bin,0.00183351921742223,0.999999327347282,0.00183351798410055
c,hackerone_com,0.000552472833874872,3.30258442034133,0.00182458817381697
c,6,0.00182316035178708,0.999999327347282,0.00182315912543331
c,1_0,0.00179553671009333,0.999999327347282,0.00179553550232069
c,0x06,0.000538661013028,3.30258442034133,0.00177897346947155
c,bytes,0.00177827193403474,0.999999327347282,0.00177827073787529
c,2604,0.000535208057816282,3.30258442034133,0.00176756979338519
c,0_1,0.00173683647149413,0.999999327347282,0.00173683530320636
c,k,0.00173338351628241,0.999999327347282,0.00173338235031728
c,hal,0.00065606149022641,2.60943723978138,0.00171195128418326
c,array_c,0.000514490326545974,3.30258442034133,0.00169914773686706
